rating,header,review
1,Дефицит моментальных карт?,еще в конце марта обратилась в отделение оформить моментальную дебетовую карту хозяина сотрудница меня поняла и мы даже сначала нашли общий язык и почти перешли к оформлению карты однако после того как я отказалась от доп услуг в виде страхования неожиданно выяснилось что моментальных карт в офисе нет но мы обязательно закажем приходите в апреле заказ именной карты тоже не стала делать так как со слов сотрудника карта долго будет изготовляться позже прочитав отзывы о банке у меня сложилось мнение что работник меня просто отфутболила тем не менее позвонила в апреле в отделение с вопросом привезли ли карты на что получила ответ что карт по прежнему нет а апреля при личном посещении мне сказали что проблема в коронавирусе карты не доставляют сделали уже несколько заявок с трудом конечно верится что не было поставок больше двух недель тем не менее прошу разобраться с наличием карт в указанном мною офисе
1,Почему?,здравствуйте россельхозбанк марта оставил заявку на именную дебетовку хозяин в отделении банка сегодня апреля карты нет поддержка банка сообщила что я могу пользоваться картой т к счёт открыт это прекрасно однако полноценно пользоваться картой я не могу пополнить телефон оплатить покупки онлайн перевести деньги это виды операций на которые мне приходит отказ или нужны реквизиты карты подскажите почему вы так долго выпускаете дебетовую карту почему чтобы получить карту нужно писать на возможно вы спишите этот случай на короновирус и режим самоизоляции но я вам отвечу доставка курьером с уважением николай
н,Прошу снизить процентную ставку,добрый день я являюсь ипотечным заемщиком вашего банка очень вас прошу рассмотреть мое заявление о снижении процентной ставки действующего кредита не могу выйти из сложной финансовой ситуации два раза подавала документы по программе помощи ипотечным заемщикам посмотрите рассматривал ли дом рф мою последнюю заявку год назад были кредитные каникулы сейчас ситуация с короновирусом рефинансирование не могу провести из за отсутствия дохода какой то замкнутый круг прошу снизить мне процентную ставку дабы облегчить финансовую нагрузку
1,Ошибочное закрытие вклада банком,в понедельник на карту пришли деньги в связи с закрытием вклада не разбираясь кинул их на другой вклад во вторник был в банке заменял карту никто ничего не сказал в среду обнаружил на дебетовой карте баланс руб попытался разобраться по телефону обслуживание типа премиальное был послан на буквы поехал в отделение начал разбираться оказалось что после ошибки банка был закрыт вклад и было потеряно почти тыс после чего без предупреждения банком были совершены непонятные манипуляции в результате которых на дебетовый карте возник миллионный долг сейчас четверг карту разблокировали но пока проблема не решена все это время с банка ни разу не позвонили и не пытались уладить ситуацию вот тебе и премиальное обслуживание если бы сам не обнаружил бы и не поехал бы в отделение банка хотя у нас самоизоляция и т п то так бы все и осталось прошу исправить всю эту очень странную и неприятную ситуацию представителя банка связаться со мной
н,Прошу установить банкомат в ТЦ,здравствуйте надеюсь что вскоре стану обладателем пенсионной карты вашего банка с опцией кэшбэк за покупки в категории аптека спасибо за такой хороший кэшбэк узнал о ней от своих друзей пенсионеров которые часто ходят в аптеки совершают покупки получают кэшбэк плохо что о вас нет вообще никакой рекламы в гор новокузнецк кемеровская обл и тем более о такой вашей полезной для пенсионеров карте очень признателен молодой сотруднице отделения вашего банка юр вой е с за то что быстро оформила мне заявку на эту карту г в связи с этим очень хотелось бы чтобы вы установили банкомат в гор новокузнецке в маг лента по ул транспортная там всегда очень много покупателей в том числе и пенсионеров и есть аптека было бы очень удобно пополнить карту и тут же расплатиться ей спасибо
1,Ипотека,здравствуйте помогите пожалуйста с проблемой я подала документы на военную ипотеку мне ее одобрили мы сделали оценку квартиры банк провел свою внутреннюю оценку юристы просмотрели все документы и отправили в отдел риска для проставления статуса одобрения это еще было но от отдела риска тишина у них весят документы как не просмотренные оператор который занимается моими документами отправлял им повторный запрос но по прежнему тишина я уже не знаю что делать так как у моего сертификата есть свой срок и с хозяевами квартиры выходит срок договора им платили залог за квартиру и если выйдит срок по договору я потеряю квартиру и свои деньги помогите пожалуйста что мне делать как связаться с отделом риска что бы узнать в чем дела с документами у меня уже голова идет кругом пожалуйста помогите
н,Банк не принимает 2 НДФЛ и копию трудовой с ЭЦП,добрый день хочу подать в ваш банк заявку на получение сельской ипотеки но оказалось что у вас не принимают заявки с электронно заверенными справками ндфл и копиями трудовой книжки хотя они имеют ту же юридическую силу что и документы оформленные на бумаге мой работодатель на время самоизоляции перешел на предоставление документов только в электронном виде прошу уточнить есть ли какой то выход из сложившейся ситуации спасибо
1,Россельхозбанк просит нарушить статью 137 УК РФ. Блокировка ЛК,здравствуйте сегодня пополнил карту через банкомат после чего хотел перевести деньги на мобильный счет супруги сумма перевода рублей была приостановлена до подтверждения для меня это необычно так как пользовался услугами ми банков рф и такие суммы обычно не вызывают вопросов тем более когда платеж совершается через личный кабинет попробовал повторить платеж на сумму рублей так же супруге платеж опять был приостановлен дождался звонка представителя службы безопасности сб представитель сб попросил удостоверить что это я совершаю этот перевод и в курсе кому совершаю перевод я устно подтвердил что я одобряю перевод знаю кому и сколько денежных средств перевожу был готов назвать личные данные для удостоверения личности обычно это номер паспорта кодовое слово дата рождения и пр но представитель сб попытался неоднократно спровоцировать меня на нарушение действующего ук рф а именно статьи ч ук рф нарушение неприкосновенности частной жизни представитель сб банка просил разгласить ему фамилию и имя получателя перевода хотя перевод осуществлялся на номер телефона где не указывается фамилия и имя получателя после неоднократного отказа от разглашения личной информации получателя и уточнения что я в курсе перевода представитель сб россельхозбанка вместо того чтобы задать вопросы касающиеся удостоверения моей личности принял решение заблокировать мой личный кабинет в итоге для разблокирования личного кабинета я вынужден идти в отделение банка и это в нынешней эпидемиологической обстановке в рф когда необходимо оставаться дома и не выходить на улицу без крайней необходимости попытки решить вопрос по телефону минут в общей сложности когда меня раза переключали между сотрудниками банка ничем не увенчались они ничего не могут сделать по поводу попыток сбора личной информации третьих лиц будет написана жалоба в прокуратуру центробанк и роспотребнадзор деньги из банка заберу при первой же возможности крайне не рекомендую никому пользоваться услугами россельхозбанка всю информацию готов предоставить для проведения внутренней проверки
1,Реструктуризации ипотеки - без ответа!,доброго дня начну так свой негативный отзыв на банк россельхоз дело было года я подавала документы на реструктуризацию ипотеки подробно программа была описана на сайте дом рф в срок подачи уложилась нужно было поать до конца ноября подготовила все документы и принесла в банк специалисты абсолютно не компитенты в этом вопросе ничего не знают сказали документы оставить оставила потом пыталась несколько раз связаться с сотрудниками по тел оказывается был сотрудник которая занималась этой программой но на неё звонки не переводили и ничего сказать тоже не могли только ждите сегодня года почти полтора года никто мне ничего не ответил ни положительного решения ни отрицательного до меня не донесли под условия программ моя ситуация попадала я рассчитывала что будет одобрено безответственность словно документы ушли в мусорку документы принимал е ов и н г расписка его рукой имеется в компьютере он ничего не заводил
1,Вставляют палки в колеса без видимых на это причин,уже несколько раз при перевод денег на другую карту через приложение перевод приостанавливали требую позвонить в банк и подтвердить перевод при этом суммы не большие и это называется интернет банк что бы мне пришлось все равно звонить и подтверждать свои операции мы что в веке застряли при этом что бы потом дозвониться до оператора минимум минут ожидать ответа что бы он потом перевел на другого специалиста которого тоже необходимо ждать минимум минут я пользовался услугами достаточно многих банков и хуже сервиса чем в этом банке я не встречал
1,Сельская ипотека,здравствуйте мы первый обратилась в россельхозбанк подали документы на сельскую ипотеку нам ее одобрили мы предоставили все документы на себя т е все что было заявлено и указано банком подыскивали квартиру и нашли такой объект в течении месяца у нас мес остался только на сбор документов в итоге ввели режим самоизоляции и документы за месяц невозможно собрать т к все закрыто все запросы делаются очень долго в общем все документы собраны но юристы или управляющая банком требует с продавца документ о том что она развилась с мужем и у них не было брачного договора с мужем продавец развелась еще в ссср с нас же потребовали справки от приставов об отсутствии задолженности мы бы с радостью предоставили эти справки но времени нет ипотека одобрена до в других банках с связи со сложившейся ситуацией продлили срок на месяц у вас же нет сейчас не реально за месяц собрать полный пакет требуемых банком документов в общем информацию о задолженности от приставов можно узнать на сайте у них а документ от продавца требуемый банком не имеет никакого юридической силы не пойму может ваши сотрудники не компетентны в этой области т к очень странно как будто бы банк не заинтересован в выдаче ипотеки а управляющая ш рова с ю зачем к пакету документов затребовала сейчас документ об отсутствии задолженности от приставов мы же собирали документы на одобрение ипотеки можно было нам заранее а не за дня до окончания срока одобрения ипотеки сказать об этих справках сейчас они делаться будут недели минимум там все закрыто и предлагает нам заново собирать пакет документов и заново делать заявку просто слов нет прошу вас разобраться в данной ситуации управляющий до г артем приморского рф
1,Незаконное списание комиссия,я открыла карта амурский тигр срок действия карты по г г я обратилась в отделение банка по адресу г петрозаводск пр ленина д с целью закрыть карточный счет по карте амурский тигр и получить денежные средства на дату г сообщений о перевыпуске карты мне не поступало работник банка м ва н в сообщила мне что мне автоматически без моего согласия выпущено новая карта но при этом фактически в отделение банка карта еще не поступала но с моего карточного счета была списана комиссия в размере рублей якобы за обслуживание счета за следующий период по ее словам отказаться от карты я могла только написав заявление на закрытие карточного счета г мной было написано заявление на закрытие карты и карточного счета и заявление на возврат незаконно списанной комиссии после этого работником вашего банка карта со сроком г была уничтожена смс сообщение о выпуске новой карты мне пришло года февраля года ответа от банка я обратилась с заявлением в личном кабинете с просьбой разъяснить мне на каком основании была списана комиссия по карте которую я не заказывала и разъяснить почему банк даже не отвечат на заявления г я получила ответ что амурский тигр подлежит автоматическому перевыпуску первого числа месяца и мне необходимо было обратиться в офис с заявлением об отказе от карты до этого срока но никаких подобных условий в заявлении на выпуск карты в январе года я не подписывала на момент обращения в ао россельхозбанк никаких сообщений уведомлений о том что мне будет перевыпущена карта амурский тигр мне не поступало почему комиссия банка за обслуживание карты списывается со счета еще до перевыпуска карты почему на мой телефон не приходили смс уведомления о списании банковской комиссии хотя услуга смс оповещения у меня была подключена и я получала смс уведомления по другим расходам произведенным мной по карте автоматичекий перевыпуск карты без уведомления меня и моего согласия является нарушением статьи гражданского кодекса российской федерации а также нарушением закона о защите прав потребителя в данном случае происходит навязывание мне услуг банком и незаконное взимание оплаты за эти услуги прошу вернуть списанную со счета комиссию так как я еще раз официально подтверждаю что согласия на перевыпуск карты не давала никаких документов не подписывала моя старая карта амурский тигр действовала до конца января года ответа от банка по настоящее время нет
1,Вклады. Верните деньги,при обращении в офис банка в г первоуральске сотрудники не смогли дать внятного ответа по какой причине досрочно закрылись моих счета когда будут вклады восстановлены и возвращены денежные средства незаконно списанные банком прошу дать ответ в какие сроки будут восстановлены мои счета и возвращены мои денежные средства полном объеме
1,Заблокированная карта,получил сегодня карту оказалось карта заблокирована говоря в отделение судебные приставы но суммы назвать не могут в начале марта с карты было списано с чем то рублей и после этого картой стало не возможно пользоваться в интернет банке при попытке что либо сделать повляется ошибка что паспортные данные устарели дайте пожалуйста ответ о причине не возможности использования карты
1,Нет решения по Сельской ипотеки,обратилась в отделение банка для подачи документов на сельскую ипотеку решения нет звоню на горячую линию говорят ждите решения по смс звонили мне и моему руководителю по заявке я конечно понимаю что наша страна переживает не легкие времена но хотелось бы какой то конкретности я уже не говорю о том что выбранную квартиру мы уже потеряли очень хотелось бы узнать решения время идёт мы могли бы уже взять ипотеку в другом банке сроков конкретных рассмотрения заявки никто дать не может заявленных рабочих дней уже прошло
1,Рефинансирование ипотеки длиною в 3 месяца?,добрый день между мной и россельхозбанком г был заключен кредитный договор мною своевременно и в полном объеме исполняются обязательства по обслуживанию кредита кроме того были внесены денежные средства для частично досрочного погашения кредита страхование жизни было оформлено в соответствии с требованиями банка и своевременно пролонгировано января г мною была подана заявка на рефинансирование ипотеки в рамках программы не переплачивай размещенной на официальном сайте банка в дальнейшем в течение февраля по просьбе менеджера банка мною оперативно предоставлялись необходимые документы также по просьбе банка мною был предоставлен оригинал нотариальной доверенности касаемо ст семейного кодекса марта г во второй половине дня менеджер сообщил мне что проверка документов юристами завершена и по ее итогам принято положительное решение а также она сообщила что подписывать документы необходимо строго в день списания ежемесячного платежа установленного графиком платежей в этот день мы уже физически не успевали подписать документы поэтому решили перенести подписание на апрельский платеж однако с начала апреля я безуспешно пытаюсь дозвониться до сотрудников банка с просьбой назначить мне место и время для подписания документов поскольку отделение на свободном проспекте в списке работающих отделений размещенного на сайте банка не фигурирует никто из сотрудников не может мне сообщить будет ли работать отделение расположенное в г москва свободный проспект а г дата списания ежемесячного платежа крайне не хотелось бы переносить оформление рефинансирования на май г поэтому прошу ответственных сотрудников обратить внимание на мое обращение и назначить мне любое время и любое отделение в москве для подписания необходимых документов г спасибо
н,Просьба решить данный вопрос,здравствуйте очень расстроена обслуживанием клиентов у меня одобрена ипотека жк в котором выбрана квартира уже выдает ключи но в связи с вводом на территории самоизоляции я не могу завершить сделку офис в котором подавали документы спб стахановцев д закрыт на карантин уже вторую неделю пытаюсь узнать движется ли решение вопросов по ипотеке проверяются ли документы дошли ли они вообще до сотрудников звонила много раз на горячую линию дают телефоны на которых просто идет сброс или вообще не существуют например парадная д тел доб и за неделю ни разу не дозвонилась к ним в субботу апреля приехала в офис где уважаемые сотрудники накричали что я вообще к ним приперлась должна сидеть на самоизоляции а не по офисам ездить спросила могут ли они ответить на вопрос как мне быть в ипотекой есть ли квалифицированные и знающие сотрудники которые смогут помочь мне ответ звоните сотруднику который принимал у вас документы обьясняю им что офис тот закрыт и спрашиваю есть ли возможность перевести в работающий ответ сотрудницы просто убил я что должна ехать туда сама за вашими документами и везти сюда на следующий день вновь звонила в колл центр рассказав всю ситуацию мне дали номер телефона офиса на невском тел вообще номер не существует писала и звонила сотруднику который принимал у меня документы но трубку он не берет на смс и не отвечает сказать что я в шоке да нет просто в жутком расстройстве что не могу найти решение для моего вопроса никто ничего не знает очень прошу найти решение и связаться со мной
1,Произвол,добрый вечер я руководитель компании ооо м инн хочу обратить внимание руководства рф ао россельхозбанк црмб а так же действующих и потенциальных клиентов банка такого отношения к своим клиентам я не встречал не в одном банке т к банк находится на м месте в рейтинге надежных банков без каких либо сомнений я как юридическое лицо открыл счет в вышеупомянутом банке сегодня столкнулся с полнейшим произволом с утра примерно в отправил платежные поручения по системе бк для расчетов с контрагентами по ранее заключенным договорам позже мне позвонил сотрудник банка подтвердил отправленные мною платежные поручения что происходит далее это просто уму не постижимо в я захожу в бк проверить исполнение отправленных мной в утра платежных поручений а там меня ждет сюрприз платежные поручения в статусе принят а на расчетном счете стоит блок офм при этом не звонков из банка не запросов по бк не поступало как такое возможно прошу незамедлительно разобраться в сложившейся ситуации т к действия сотрудников вашего банка нарушают сроки моих обязательств перед клиентами уважаемое руководство рф ао россельхозбанк кто в дальнейшем будет возмещать штрафы и неустойки выставленные моими партнерами в это не легкое для страны и предпринимателей время
н,Сельская ипотека,здравствуйте помогите решить вопрос подали документы на сельскую ипотеку в отделении г белгород сказали рассмотрят в течении дней прошло три недели ответа нет звонили и ездили в банк ответ один заявка на рассмотрении сколько это будет длится ответа дать не кто не может жильё уже нашли но с таким подходом его можно упустить помогите решить проблему
н,Ипотека,г произошло списание очередного платежа по ипотечному кредиту с повышенной ставкой договор страхования продлен согласно графику страхования к договору страхования от г до г и квитанция предоставлена лично в офис по адресу г новосибирск ул блюхера прошу разобратся с данной ситуацией и дать ответ на электронную почту
1,Ипотека,здравствуйте отдали документы по квартире на одобрение по ипотеке сказали что рассматривают около дней однако сегодня уже в банке ответили что заявка висит типо заморожены скорей всего из за карантина можно поинтересоваться ждать ли вообще вести до конца апреля что нам делать теперь
н,Ипотека,сотрудник контактного центра чтобы услышать ответ на элементарный вопрос предложил мне ехать в отделение банка и это во время пандемии когда все стараются давать максимум информации без визита в это же время россельхозбанк предлагает ехать в отделение большую часть из которых сами же и закрыли видимо чтобы в открытых побольше людей собиралось с риском заразиться звонки в региональный филиал просто сбрасываются вы живете в какой то параллельной реальности впрочем как и руководство страны может здесь сможете ответить на мой простейший вопрос страхование жизни по ипотеки вы принимаете от любой страховой компании или есть какой то список аккредитованных
1,Затягивание ситуации с решением по реструктуризации ипотеки,г в до г люберцы наконец то отправили последние документы к заявлению на реструктуризацию ипотеки в связи с потерей дохода непонятно когда вообще нам скажут принятое решение ответ по нашему заявлению на реструктуризации нашей ипотеки кредитный договор от г идёт непонятное затягивание в этой ситуации то сотрудник на больничном до объявления пандемии то теперь отделение не работает в объявленные путиным выходные дни то вообще не понятно когда будет ммк как сказал управляющий отделением к нов а а малый кредитный комитет когда соберётся на очередное заседания по таким вопросам решите пожалуйста наш вопрос всегда с уважением относились к банку платежи на протяжение х все в срок но это уже переходит все границы
1,В карантине карта заблокирована!,в карантине карта заблокирована захотел снять собственные средства с карты по с с зашел в интернет банк написано карта заблокирована при этом никаких звонков от банка не было не связывайтесь с ними самый худший банк не отдают собственные средства звонить даже не хочу ответят через минут а реально никто не отвечает
1,Неисполнение исполнительного листа,г в отделение ао россельхозбанк по адресу г москва пер гагаринский д мной было подано заявление с оригиналом исполнительного листа серии фс о взыскании с автономной некоммерческой организации о суммы в рублей копейки судебное дело а заявление передано лично в руки сотруднику банка гостевой г в о чем свидетельствует печать банка на дубликате заявления на г исполнительный лист не исполнен уведомления банка не получены в телефонных разговорах сотрудники банка ссылаются на нераспространение информации через телефонный разговор и говорят о длительности операции по списанию долга в дней далее мной был посещен офис россельхозбанка банка по адресу г москва проезд красногвардейский й д стр где мне не смогли дать ответа по моему вопросу ссылаясь на отсутствие работников считаю что я не обязан приезжать лично в банк для исполнения денежного перевода он должен быть исполнен в трехдневный срок о чем я получу уведомление о пополнении средств на счет ип согласно ч ст закона фз банк обслуживающий счета должника обязан исполнить содержащиеся в исполнительном документе требования о взыскании денежных средств незамедлительно о чем в течение трех дней со дня их исполнения уведомить взыскателя на основании изложенного прошу предоставить информацию о ходе взыскания средств со счета должника также проинформировать о причинах неисполнения исполнительного листа надеюсь на оперативное решение вопроса банком
1,Действия сотрудников банка привели к просроченной задолженности,обращаласьв банк по поводу повышения банком ставки по кредиту до оставила сообщение на сайте банка но оно не формирует номер входящего сообщения поэтому дублирую свое обращение здесь в рсхб у меня кредита от декабря а также от августа по всем кредитным продуктам установлена дата погашения число марта в личномкабинете мобильного банка обратила внимание на то что по кредитному договору от августа есть просроченная задолженность в сумме рублей была очень удивлена так как до марта года на текущем счете была размещена сумма необходимая для погашения ежемесячных платежей в полном объёме по всем кредитам просмотрев внимательно информацию в мобильном приложении обнаружила что банком в одностороннем порядке повышена ставка по одному из кредитов что повлекло за собой повышение ежемесячного платежа что в свою очередь привело к формированию технической просрочки по другому кредиту обратилась в колл центр банка в специалист алена не смогла проконсультировать и посоветовала обратиться в отделение банка при обращении в отделениевыяснилось что повышение ставки произошло из за отсутствия информации о продленном договоре страхования хотя мною в отделение были представлены договора страхования по кредитам более того оплата этих договоров страхования также проводилась в отделении сотрудник принимавший документы и оформивший пп в декабре м на ангелина сотрудники отделенияотговорили меня писать претензию и пообещали решить вопрос с возращением ставки возвратом переплаты штрафов и пеней и корректировкой бки оперативно в течении дня т е и позвонить мне сообщив что вопрос решен звонка не последовало ставка вернулась к в пятницу но все остальные заданные мною вопросы остались без ответа в связи с этой ситуацией возникшей по вине сотрудников банка я несу материальные и репутационные потери прошу банк незамедлительно вернутьна мой текущий счет переплату ежемесячного платежа по кредиту за март которая возникла в связи с повышением ставки штрафыи пени по кредиту которые возникли в связи с технической просрочкой так как по другому кредиту повысилась ставка откорректироватьмою кредитную историю в бки так как техническая просрочка по кредиту возникла по причине действий сотрудников банка
